#     Step             Time      Temperature                E_kin                     E_pot             Pressure
       159          79.5000        4417.5960          27.97989444        -219.77006446       14346.96991655
       160          80.0000        4385.2820          27.77522593        -219.63608080       11406.42639055
       161          80.5000        4306.8340          27.27835723        -219.41500421        9046.30526128
       162          81.0000        4279.1592          27.10307239        -219.03889357        8201.92114002
       163          81.5000        4170.9879          26.41794336        -218.48545080        7748.34628470
       164          82.0000        4102.0960          25.98160032        -217.80632940        8021.39712691
       165          82.5000        3972.0673          25.15803275        -217.12446104        9547.66290400
       166          83.0000        3855.3183          24.41857508        -216.67276144       11532.41100095
       167          83.5000        3791.5498          24.01468232        -216.48687916       14227.78714128
       168          84.0000        3762.5630          23.83108731        -216.52116596       16998.67564363
       169          84.5000        3739.5508          23.68533440        -216.66352320       19230.51840208
       170          85.0000        3665.3349          23.21527007        -216.71310589       21425.63761261
       171          85.5000        3623.7349          22.95178691        -216.68719021       22876.37157284
       172          86.0000        3716.6059          23.54000747        -217.11630276       24076.40726757
       173          86.5000        3890.3931          24.64072974        -218.05719101       25007.43485786
       174          87.0000        3963.9037          25.10632671        -218.87113523       25869.37969325
       175          87.5000        4015.2900          25.43179388        -219.29053228       26766.08323609
       176          88.0000        4161.3030          26.35660220        -219.52743823       27143.82630459
       177          88.5000        4334.6645          27.45462846        -220.07615952       25848.51717888
       178          89.0000        4418.0035          27.98247553        -220.83589727       22571.83277356
       179          89.5000        4527.6559          28.67698510        -221.41573565       19748.85227781
       180          90.0000        4614.9376          29.22980479        -221.78561340       17096.78579471
       181          90.5000        4690.2978          29.70711616        -221.95202629       15127.63767383
       182          91.0000        4776.8703          30.25544397        -221.88829966       13452.21093891
       183          91.5000        4656.0628          29.49028060        -221.60717683       11888.22073635
       184          92.0000        4663.0290          29.53440321        -221.26908446       12373.63786745
       185          92.5000        4567.5210          28.92948032        -221.12834552       11531.80043277
       186          93.0000        4484.8745          28.40601930        -221.18615139       12142.82753428
       187          93.5000        4445.9745          28.15963693        -221.12217845       13765.31648701
       188          94.0000        4365.1279          27.64757546        -220.75424840       15835.76936493
       189          94.5000        4272.1495          27.05867481        -220.07384310       18968.81694046
       190          95.0000        4139.6232          26.21928806        -219.25058217       22362.30833639
       191          95.5000        4020.3334          25.46373759        -218.57420175       25238.15828075
       192          96.0000        4009.0945          25.39255340        -218.08125982       28236.41835248
       193          96.5000        3956.6149          25.06016104        -217.63843475       30307.72626336
       194          97.0000        3872.4031          24.52678572        -217.26430016       32095.11266920
       195          97.5000        3857.7156          24.43375883        -217.08493540       33500.15645279
       196          98.0000        3863.7994          24.47229222        -217.18143878       34105.12291285
       197          98.5000        3943.7995          24.97899175        -217.52242783       34679.66001261
       198          99.0000        4008.7969          25.39066854        -217.87089381       34767.64977233
       199          99.5000        3958.7379          25.07360754        -217.91372545       35146.65726507
       200         100.0000        3894.4742          24.66657809        -217.42818756       36345.42974190
       201         100.5000        3758.0915          23.80276621        -216.57236379       36714.83033378
       202         101.0000        3726.5483          23.60297970        -216.24832799       36828.86998716
       203         101.5000        3715.1964          23.53107971        -216.85237764       34776.50376861
       204         102.0000        3817.5298          24.17923238        -217.60021443       33137.80784546
       205         102.5000        3983.5130          25.23052648        -218.11226291       32819.03336659
       206         103.0000        4046.7570          25.63109754        -218.41856302       32911.15244034
       207         103.5000        4037.5422          25.57273356        -218.57741518       34112.93765457
       208         104.0000        4029.7393          25.52331230        -218.60378309       36387.20560161
       209         104.5000        3988.0269          25.25911680        -218.64816759       37499.12045438
       210         105.0000        4001.3898          25.34375397        -219.06962069       37625.50102619
       211         105.5000        4066.0350          25.75319928        -219.87123276       36493.26380797
       212         106.0000        4173.7863          26.43566762        -220.83288581       34425.78072585
       213         106.5000        4310.8681          27.30390799        -221.85281755       31411.79096470
       214         107.0000        4421.5398          28.00487388        -222.88999171       27666.58401414
       215         107.5000        4576.8506          28.98857124        -223.76428762       23511.79586092
       216         108.0000        4637.9051          29.37527488        -224.15259007       19439.28176729
       217         108.5000        4636.7018          29.36765358        -223.90496863       16697.04838209
       218         109.0000        4521.4158          28.63746218        -223.09252730       13935.34660787
       219         109.5000        4429.5713          28.05574286        -222.07478707       11907.00638149
       220         110.0000        4224.4754          26.75671915        -221.42240686        8058.01529708
       221         110.5000        4240.5860          26.85875952        -221.32202956        5295.10838030
       222         111.0000        4247.6902          26.90375570        -221.38453570        2695.72049401
       223         111.5000        4252.4588          26.93395904        -221.44911941         888.80924950
       224         112.0000        4265.5405          27.01681513        -221.46240288        -587.65336513
       225         112.5000        4311.8364          27.31004108        -221.26891974       -2414.78721358
       226         113.0000        4227.8512          26.77810081        -220.68283795       -3641.51252871
       227         113.5000        4012.5716          25.41457621        -219.65839318       -3842.94246897
       228         114.0000        3826.8293          24.23813325        -218.65598962       -4007.99733958
       229         114.5000        3740.0645          23.68858799        -218.19378180       -4266.26338969
       230         115.0000        3708.8338          23.49078086        -217.94314453       -3936.00376414
       231         115.5000        3602.9893          22.82038916        -217.68752243       -3896.58092083
       232         116.0000        3556.7164          22.52730874        -217.47524746       -3360.26663468
       233         116.5000        3499.3476          22.16395023        -217.23546399       -1934.71895195
       234         117.0000        3427.9692          21.71185789        -216.90653041        -545.41151764
       235         117.5000        3316.3351          21.00479682        -216.50000555        1249.77772929
       236         118.0000        3166.0291          20.05279810        -216.11958685        2206.47767333
       237         118.5000        3199.5018          20.26480515        -216.16742420        3338.26061874
       238         119.0000        3319.3832          21.02410298        -216.76651778        4264.09211747
       239         119.5000        3379.7125          21.40621300        -217.38879483        4382.63391816
       240         120.0000        3410.6721          21.60230284        -217.78767960        4125.02023425
       241         120.5000        3402.0488          21.54768478        -218.02076539        4451.65232843
       242         121.0000        3358.9068          21.27443470        -218.15615363        5376.86469269
       243         121.5000        3309.9196          20.96416304        -218.20781621        5703.75365774
       244         122.0000        3360.6250          21.28531744        -218.14921082        6195.73520479
       245         122.5000        3366.4718          21.32234940        -217.98141521        6088.43170883
       246         123.0000        3432.7280          21.74199884        -217.76309589        5665.87417026
       247         123.5000        3460.3602          21.91701411        -217.64332463        3935.26704561
       248         124.0000        3448.2111          21.84006514        -217.83703038        2083.14943970
       249         124.5000        3490.5997          22.10854331        -218.19306395        -313.78111464
       250         125.0000        3543.5452          22.44388616        -218.43691290       -2538.70063666
       251         125.5000        3558.8465          22.54080045        -218.39386863       -3912.22712863
       252         126.0000        3511.3804          22.24016278        -217.94592649       -5110.18242518
       253         126.5000        3402.7965          21.55242099        -217.24173048       -5796.89253833
       254         127.0000        3387.0601          21.45275051        -216.78949401       -5527.38309817
       255         127.5000        3394.6985          21.50112985        -216.80922029       -6139.02819731
       256         128.0000        3426.5086          21.70260710        -217.06736821       -7450.35391630
       257         128.5000        3501.5896          22.17815037        -217.48198909       -7901.79481196
       258         129.0000        3626.2742          22.96786974        -218.04174441       -7657.03782108
       259         129.5000        3761.8785          23.82675196        -218.72758515       -7692.13745944
